icsd_id,formula,Final_label,group name,color,x,y
619741,Cd1 Ga0.5 Cu0.5 S2,0,Diamond like,#1f77b4,8.674751,59.13146
418074,Cu14 P24 S18 Cl14,-1,No group,#17becf,33.00095,-10.215598
412533,Cu18 P24 S24 I18,51,All other groups,#BCBD22,32.608124,-8.924745
110363,Cu12 Mo2 C40 S8 N10 Cl18,-1,No group,#17becf,29.813156,-23.42627
61514,Na2 Cu10 S6,-1,No group,#17becf,1.504545,-10.595576
428727,Al4 Cu4 Bi4 S6 Cl16,-1,No group,#17becf,17.840052,-17.947075
628469,Nb6 Cu2 S8,-1,No group,#17becf,-47.6998,-4.9204617
154626,Y6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-28.178196,-30.505857
628240,La8 Cu2 S14,53,All other groups,#BCBD22,-7.733652,-27.465548
627770,Pr6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-18.595058,-35.978203
155941,Gd6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-23.349966,-32.98322
429432,Ce6 Ga2 Cu2 S14,52,All other groups,#BCBD22,-16.876022,-37.666046
628523,Nd6 Cu2 Si2 S14,52,All other groups,#BCBD22,-19.430017,-36.378326
156278,Tb6 Cu2 Si2 S14,52,All other groups,#BCBD22,-25.077444,-34.55322
627711,La6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-16.83277,-35.86512
155073,Ce6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-17.734865,-35.92885
628890,Y6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-28.120333,-30.272055
156280,Er6 Cu2 Si2 S14,52,All other groups,#BCBD22,-27.518328,-32.809875
628862,Tb6 Cu2 Si2 S14,52,All other groups,#BCBD22,-25.118532,-34.79656
155938,Nd6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-19.589376,-34.97064
627968,Ho6 Cu2 Si2 S14,52,All other groups,#BCBD22,-26.924244,-33.70746
627173,Dy6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-25.287464,-32.799606
628722,Pr6 Cu2 Si2 S14,52,All other groups,#BCBD22,-18.59357,-36.487232
155079,Dy6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-25.480005,-33.231903
152554,Y6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-28.028683,-29.866995
627247,Er6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-26.828045,-31.833143
628864,Y6 Cu2 Si2 S14,52,All other groups,#BCBD22,-28.298168,-30.766645
156274,Ce6 Cu2 Si2 S14,52,All other groups,#BCBD22,-17.741613,-36.34765
627171,Dy6 Cu2 Si2 S14,52,All other groups,#BCBD22,-26.181772,-34.228203
620904,Ce8 Cu2 S14,53,All other groups,#BCBD22,-8.008791,-27.49036
429433,Pr6 Ga2 Cu2 S14,52,All other groups,#BCBD22,-17.350983,-37.904484
627245,Er6 Cu2 Si2 S14,52,All other groups,#BCBD22,-27.481731,-33.08228
155939,Pr6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-18.495838,-34.76807
416478,Gd6 Cu2 Si2 S14,52,All other groups,#BCBD22,-24.036402,-35.020252
156279,Dy6 Cu2 Si2 S14,52,All other groups,#BCBD22,-26.133856,-34.16966
627749,Nd6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-19.490238,-35.93079
628721,Pr8 Cu2 S14,53,All other groups,#BCBD22,-8.141567,-27.509396
156277,Sm6 Cu2 Si2 S14,52,All other groups,#BCBD22,-21.842484,-35.704613
627638,Gd6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-23.507551,-33.904804
155078,Tb6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-24.648186,-33.770454
627221,Er6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-27.244907,-32.50095
155076,Sm6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-21.71076,-35.20375
155937,Ce6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-17.628967,-34.917084
159888,Ho6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-26.232607,-32.563473
429431,La6 Ga2 Cu2 S14,52,All other groups,#BCBD22,-16.514269,-37.47528
