icsd,formula,PTR_label,LoStOP_label,Final PTR,Final cosine,Final Euclid,material_id,formation_energy,band_gap,bulk_modulus
606764,Ti8 Al8 Cr4 Cu4 S32,-1,34,23,0,1,,,,
658625,Cr12 Cu8 Sb4 S32,0,34,23,0,1,,,,
52936,Cr16 Co4.4 Cu3.6 S32,0,34,23,0,1,,,,
426371,Ti13.6 Fe2.4 Cu8 S32,0,34,23,0,1,,,,
69170,Li8 Ti16.4 Cu0.648 S32,-1,35,-1,8,20,,,,
21940,Mg7.68 Zr16 Cu0.504 S32,18,35,37,8,20,,,,
64821,Fe10 Cu4 Sn10 S32,-1,34,23,0,1,,,,
622573,Co16.16 Cu7.84 S32,0,34,23,0,1,,,,
21932,Mg6.592 Zr16 Cu0.50496 S32,18,35,37,8,20,,,,
42057,Ti16 Cu7.44 S32,0,34,23,0,1,,,,
21928,Zr16 Cu7.6 S32,0,34,23,0,1,,,,
21941,Mg0.64 Zr16 Cu0.504 S32,-1,35,37,8,20,,,,
155116,Sc8.16 Cu4.32 Sn8.8 S32,-1,35,-1,8,20,,,,
56124,Co14.4 Cu7.2 Ni2.4 S32,0,34,23,0,1,,,,
628769,Cu8 Rh16 Se1.6 S30.4,0,34,23,0,1,,,,
602502,Cr16 Fe4 Cu4 Se16 S16,-1,34,23,0,1,,,,
164923,Al4 Cr16 Cu4 S32,0,34,23,0,1,,,,
628772,Cu8 Rh16 Se12.8 S19.2,0,34,23,0,1,,,,
52939,Cr16 Co4.4 Cu3.6 Se4 S28,0,34,23,0,1,,,,
53112,Cr16 Cu8 Se25.6 S6.4,-1,34,23,0,1,,,,
628057,In20.72 Cu1.88 S32,17,34,23,0,1,,,,
625770,Cr16 Cu8 Se9.6 S22.4,-1,34,23,0,1,,,,
93856,Fe4 Cu5.52 Si1.04 Sn12 S32,0,34,23,0,1,,,,
259623,Ti12 Co4 Cu5.28 S32,0,34,23,0,1,,,,
95602,Mn4 Cu7.384 Sn12 S32,0,34,23,0,1,,,,
20211,Cu7.2 S4,0,36,38,9,21,,,,
106569,Cu7.136 S4,0,36,38,9,21,,,,
628818,Cu8 S4,0,37,39,10,22,mp-12087,-0.262932268,0.0338,97
69756,Cu1.8 S1,0,36,38,9,21,,,,
166480,Cu7.2 S4,0,36,38,9,21,,,,
32113,Cu7.2 S4,0,36,38,9,21,,,,
57241,Cu7.192 S4,0,-1,-1,-1,-1,,,,
5047,Fe14.472 Cu19.224 Ag2.304 Se18.944 S13.056,0,-1,-1,-1,-1,,,,
53334,Cu7.2 Se2 S2,0,37,39,10,22,,,,
57214,Cu7.2 S4,0,-1,-1,-1,-1,,,,
41142,Cu7.2 S4,0,36,38,9,21,,,,
57213,Cu7.2 S4,0,36,38,9,21,,,,
